NAME,TICKER,COUNTRY,ICB,INDUS,SUP SEC,SEC,SUB SEC
Canadian National Railway Co.,CNI,Canada,2775,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads
CNOOC Ltd.,CEO,China,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Target Corp.,TGT,United States,5373,Consumer Services,Retail,General Retailers,Broadline Retailers
Vale S.A.,VALE,Brazil,1775,Basic Materials,Basic Resources,Mining,General Mining
Praxair Inc.,PX,United States,1353,Basic Materials,Chemicals,Chemicals,Commodity Chemicals
Baxter International Inc.,BAX,United States,4537,Health Care,Health Care,Health Care Equipment & Services,Medical Supplies
PetroChina Co. Ltd.,PTR,China,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
EOG Resources Inc.,EOG,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Syngenta AG,SYT,Switzerland,1357,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
PNC Financial Services Group Inc.,PNC,United States,8355,Financials,Banks,Banks,Banks
MetLife Inc.,MET,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Yum! Brands Inc.,YUM,United States,5757,Consumer Services,Travel & Leisure,Travel & Leisure,Restaurants & Bars
Canadian Imperial Bank of Commerce,CM,Canada,8355,Financials,Banks,Banks,Banks
Credit Suisse Group,CS,Switzerland,8355,Financials,Banks,Banks,Banks
Danaher Corp.,DHR,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
France Telecom,FTE,France,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Newmont Mining Corp.,NEM,United States,1777,Basic Materials,Basic Resources,Mining,Gold Mining
Statoil ASA,STO,Norway,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Walgreen Co.,WAG,United States,5333,Consumer Services,Retail,Food & Drug Retailers,Drug Retailers
Devon Energy Corp.,DVN,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Prudential Financial Inc.,PRU,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Cenovus Energy Inc.,CVE,Canada,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
Prudential PLC,PUK,United Kingdom,8575,Financials,Insurance,Life Insurance,Life Insurance
TransCanada Corp.,TRP,Canada,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
Dominion Resources Inc. (Virginia),D,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Kimberly-Clark Corp.,KMB,United States,3767,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products
BT Group PLC,BT,United Kingdom,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Duke Energy Corp.,DUK,United States,7575,Utilities,Utilities,Gas, Water & Multiutilities,Multiutilities
NTT DOCOMO Inc.,DCM,Japan,6575,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications
TJX Cos.,TJX,United States,5371,Consumer Services,Retail,General Retailers,Apparel Retailers
Allergan Inc.,AGN,United States,4577,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bank of New York Mellon Corp.,BK,United States,8771,Financials,Financial Services,Financial Services,Asset Managers
Enbridge Inc.,ENB,Canada,0577,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Pipelines
FedEx Corp.,FDX,United States,2771,Industrials,Industrial Goods & Services,Industrial Transportation,Delivery Services
Covidien PLC,COV,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
Sasol Ltd.,SSL,South Africa,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
Exelon Corp.,EXC,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
Hitachi Ltd.,HIT,Japan,2737,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment
NextEra Energy Inc.,NEE,United States,7535,Utilities,Utilities,Electricity,Conventional Electricity
American Tower REIT,AMT,United States,8675,Financials,Real Estate,Real Estate Investment Trusts,Specialty Real Estate Investment Trusts
Time Warner Cable Inc.,TWC,United States,5553,Consumer Services,Media,Media,Broadcasting & Entertainment
POSCO,PKX,South Korea,1757,Basic Materials,Basic Resources,Industrial Metals & Mining,Iron & Steel
Marathon Oil Corp.,MRO,United States,0533,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production
ACE Ltd.,ACE,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Medco Health Solutions Inc.,MHS,United States,,,,,,,,
Morgan Stanley,MS,United States,8777,Financials,Financial Services,Financial Services,Investment Services
CenturyLink Inc.,CTL,United States,6535,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications
Precision Castparts Corp.,PCP,United States,2713,Industrials,Industrial Goods & Services,Aerospace & Defense,Aerospace
Travelers Cos. Inc.,TRV,United States,8536,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance
Tyco International Ltd.,TYC,United States,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Norfolk Southern Corp.,NSC,United States,2775,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads
Illinois Tool Works Inc.,ITW,United States,2757,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery
China Life Insurance Co. Ltd.,LFC,China,8575,Financials,Insurance,Life Insurance,Life Insurance
General Mills Inc.,GIS,United States,3577,Consumer Goods,Food & Beverage,Food Producers,Food Products
Lockheed Martin Corp.,LMT,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
WellPoint Inc.,WLP,United States,4533,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers
CSX Corp.,CSX,United States,2775,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads
Baker Hughes Inc.,BHI,United States,0573,Oil & Gas,Oil & Gas,Oil Equipment, Services & Distribution,Oil Equipment & Services
Johnson Controls Inc.,JCI,United States,3355,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts
Capital One Financial Corp.,COF,United States,8773,Financials,Financial Services,Financial Services,Consumer Finance
Lloyds Banking Group PLC,LYG,United Kingdom,8355,Financials,Banks,Banks,Banks
Manulife Financial Corp.,MFC,Canada,8575,Financials,Insurance,Life Insurance,Life Insurance
AFLAC Inc.,AFL,United States,8575,Financials,Insurance,Life Insurance,Life Insurance
Coach Inc.,COH,United States,3763,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories
Nokia Corp.,NOK,Finland,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
Thermo Fisher Scientific Inc.,TMO,United States,4535,Health Care,Health Care,Health Care Equipment & Services,Medical Equipment
Sony Corp.,SNE,Japan,3743,Consumer Goods,Personal & Household Goods,Leisure Goods,Consumer Electronics
General Dynamics Corp.,GD,United States,2717,Industrials,Industrial Goods & Services,Aerospace & Defense,Defense
Corning Inc.,GLW,United States,9578,Technology,Technology,Technology Hardware & Equipment,Telecommunications Equipment
Koninklijke Philips Electronics N.V.,PHG,Netherlands,2727,Industrials,Industrial Goods & Services,General Industrials,Diversified Industrials
Panasonic Corp.,PC,Japan,3743,Consumer Goods,Personal & Household Goods,Leisure Goods,Consumer Electronics
Cummins Inc.,CMI,United States,2753,Industrials,Industrial Goods & Services,Industrial Engineering,Commerical Vehicles & Trucks
Las Vegas Sands Corp.,LVS,United States,5752,Consumer Services,Travel & Leisure,Travel & Leisure,Gambling
El Paso Corp.,EP,United States,,,,,,,,
Spectra Energy Corp.,SE,United States,7573,Utilities,Utilities,Gas, Water & Multiutilities,Gas Distribution
Hess Corp.,HES,United States,0537,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas
BB&T Corp.,BBT,United States,8355,Financials,Banks,Banks,Banks
